"","SYMBOL","gene_id","coding_length","DESCRIPTION","GENEBIOTYPE","SEQCOORDSYSTEM","ENTREZID","Wildtype_Avg","Pax6cKO_Avg","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000031024","St5","ENSMUSG00000031024",5738,"suppression of tumorigenicity 5 [Source:MGI Symbol;Acc:MGI:108517]","protein_coding","chromosome",76954,4.57929169965188,15.1669106605688,1.72568681790878,5.82734128099126,110.904523322251,2.28732695392679e-06,0.000453119469572897
"ENSMUSG00000006731","B4galnt1","ENSMUSG00000006731",3454,"beta-1,4-N-acetyl-galactosaminyl transferase 1 [Source:MGI Symbol;Acc:MGI:1342057]","protein_coding","chromosome",14421,2.22133455958048,9.13096748385995,2.03523106352172,4.30855617383206,110.443894924221,2.32765644894651e-06,0.000454614253204806
"ENSMUSG00000021559","Dapk1","ENSMUSG00000021559",9012,"death associated protein kinase 1 [Source:MGI Symbol;Acc:MGI:1916885]","protein_coding","chromosome",69635,24.0229581754892,8.19289835990096,-1.56212021161814,7.19295828642631,109.680854958975,2.39639305187179e-06,0.000459422923090254
"ENSMUSG00000067279","Ppp1r3c","ENSMUSG00000067279",2725,"protein phosphatase 1, regulatory subunit 3C [Source:MGI Symbol;Acc:MGI:1858229]","protein_coding","chromosome",53412,49.3068891820263,2.85530413571422,-4.1328372320144,6.16359903730351,159.172626095564,2.4580826215514e-06,0.000459422923090254
"ENSMUSG00000026073","Il1r2","ENSMUSG00000026073",1908,"interleukin 1 receptor, type II [Source:MGI Symbol;Acc:MGI:96546]","protein_coding","chromosome",16178,0.466610503147175,21.1481723866063,5.49318147807025,4.37735786413199,143.724403319861,2.47669232126127e-06,0.000459422923090254
"ENSMUSG00000028699","Tspan1","ENSMUSG00000028699",2329,"tetraspanin 1 [Source:MGI Symbol;Acc:MGI:1914055]","protein_coding","chromosome",66805,12.4311458671975,37.5363957893315,1.5713959702262,5.86875550893241,108.256605528513,2.53145529712304e-06,0.000459422923090254
"ENSMUSG00000028488","Sh3gl2","ENSMUSG00000028488",6551,"SH3-domain GRB2-like 2 [Source:MGI Symbol;Acc:MGI:700009]","protein_coding","chromosome",20404,9.52803131851306,2.73535680789937,-1.81308343026752,5.34222163751795,107.88903725459,2.56781072562748e-06,0.000459422923090254
"ENSMUSG00000075602","Ly6a","ENSMUSG00000075602",1205,"lymphocyte antigen 6 complex, locus A [Source:MGI Symbol;Acc:MGI:107527]","protein_coding","chromosome",110454,49.9560354180363,125.890376975811,1.31963019738548,6.72902267152476,107.626050279208,2.59421423258824e-06,0.000459422923090254
"ENSMUSG00000024810","Il33","ENSMUSG00000024810",2886,"interleukin 33 [Source:MGI Symbol;Acc:MGI:1924375]","protein_coding","chromosome",77125,1.78301812908293,18.6091641249235,3.37114522094223,4.88738797071487,121.908440710035,2.66560072000431e-06,0.000459422923090254
"ENSMUSG00000044734","Serpinb1a","ENSMUSG00000044734",2303,"serine (or cysteine) peptidase inhibitor, clade B, member 1a [Source:MGI Symbol;Acc:MGI:1913472]","protein_coding","chromosome",66222,10.512878062939,41.7853747814046,1.97935833146898,5.91102282586527,106.830675804591,2.6761125847847e-06,0.000459422923090254
"ENSMUSG00000038094","Atp13a4","ENSMUSG00000038094",6230,"ATPase type 13A4 [Source:MGI Symbol;Acc:MGI:1924456]","protein_coding","chromosome",224079,2.03261441763321,12.6992097024069,2.64899538205458,5.52759026325502,117.017089477604,2.67867532114376e-06,0.000459422923090254
"ENSMUSG00000039997","Ifi203","ENSMUSG00000039997",6706,"interferon activated gene 203 [Source:MGI Symbol;Acc:MGI:96428]","protein_coding","chromosome",15950,1.50627341527095,4.44825251481233,1.54633684348984,4.33588744209611,106.759600550152,2.68358381555568e-06,0.000459422923090254
"ENSMUSG00000058589","Anks1b","ENSMUSG00000058589",14501,"ankyrin repeat and sterile alpha motif domain containing 1B [Source:MGI Symbol;Acc:MGI:1924781]","protein_coding","chromosome",77531,1.37343625721468,0.0434445816616403,-4.92306322898758,3.40537631039894,109.848935282911,2.7680703758082e-06,0.000467570615237057
"ENSMUSG00000006777","Krt23","ENSMUSG00000006777",1565,"keratin 23 [Source:MGI Symbol;Acc:MGI:2148866]","protein_coding","chromosome",94179,7.14936218157985,40.14146846543,2.46284496103394,5.21725563029827,108.450021859179,2.79861261013022e-06,0.000467570615237057
"ENSMUSG00000021756","Il6st","ENSMUSG00000021756",11099,"interleukin 6 signal transducer [Source:MGI Symbol;Acc:MGI:96560]","protein_coding","chromosome",16195,9.29032935352475,20.4045881002332,1.12210778920127,7.36799234537787,104.907837350333,2.88753527476275e-06,0.000476683948275417
"ENSMUSG00000039364","Sectm1b","ENSMUSG00000039364",2780,"secreted and transmembrane 1B [Source:MGI Symbol;Acc:MGI:1929083]","protein_coding","chromosome",58210,1.36964692579632,7.42958810213312,2.43199716082019,3.6403550051175,104.142788569963,2.97730151366775e-06,0.000485720471647419
"ENSMUSG00000043336","Filip1l","ENSMUSG00000043336",5335,"filamin A interacting protein 1-like [Source:MGI Symbol;Acc:MGI:1925999]","protein_coding","chromosome",78749,5.42760212472805,19.1937493301294,1.79725897250816,6.04546837947629,103.762759673138,3.02315865560603e-06,0.000487466756712661
"ENSMUSG00000040694","Apobec2","ENSMUSG00000040694",1597,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 2 [Source:MGI Symbol;Acc:MGI:1343178]","protein_coding","chromosome",11811,0.734624785399188,9.20894912905622,3.63360706770696,3.027874491122,103.441914832138,3.06254762578205e-06,0.00048814193019218
"ENSMUSG00000089715","Cbx6","ENSMUSG00000089715",10609,"chromobox 6 [Source:MGI Symbol;Acc:MGI:3512628]","protein_coding","chromosome",494448,2.00833629042217,7.97257725772698,1.99106940003838,5.73290155641201,101.759546405562,3.27966113129036e-06,0.000516807510313675
"ENSMUSG00000037747","Phyhipl","ENSMUSG00000037747",9732,"phytanoyl-CoA hydroxylase interacting protein-like [Source:MGI Symbol;Acc:MGI:1918161]","protein_coding","chromosome",70911,1.17742621291506,0.077985073994584,-3.92659042463018,2.66991553496066,101.471183126967,3.31874017682336e-06,0.000517089550921456
"ENSMUSG00000059327","Eda","ENSMUSG00000059327",6825,"ectodysplasin-A [Source:MGI Symbol;Acc:MGI:1195272]","protein_coding","chromosome",13607,2.70097151479543,0.569304004721563,-2.25197912550415,3.50799001054863,101.13352706226,3.36522520852653e-06,0.000518506421851527
"ENSMUSG00000040964","Arhgef10l","ENSMUSG00000040964",5693,"Rho guanine nucleotide exchange factor (GEF) 10-like [Source:MGI Symbol;Acc:MGI:1920004]","protein_coding","chromosome",72754,5.906219229403,14.5765884185551,1.2876291850226,5.87401043241642,100.733597497902,3.42131713872827e-06,0.0005213560962939
"ENSMUSG00000064023","Klk8","ENSMUSG00000064023",1540,"kallikrein related-peptidase 8 [Source:MGI Symbol;Acc:MGI:1343327]","protein_coding","chromosome",259277,0.13523379523399,4.74016799905041,5.02414298181415,1.99360333542208,100.376628032203,3.47235140642458e-06,0.000523381488618366
