"","length","gc"
"ENSMUSG00000030530",9178,0.539551100457616
"ENSMUSG00000020121",9132,0.459592641261498
"ENSMUSG00000038650",2594,0.514263685427911
"ENSMUSG00000024150",2827,0.5221082419526
"ENSMUSG00000031167",4698,0.460621541081311
"ENSMUSG00000032648",3218,0.545369794903667
"ENSMUSG00000004383",7976,0.466023069207623
"ENSMUSG00000030748",6002,0.553815394868377
"ENSMUSG00000031146",1334,0.532233883058471
"ENSMUSG00000029757",3572,0.508398656215006
"ENSMUSG00000032327",5829,0.545548121461657
"ENSMUSG00000032575",3524,0.41061293984109
"ENSMUSG00000105265",11594,0.44022770398482
"ENSMUSG00000054404",6326,0.44941511223522
"ENSMUSG00000042109",4623,0.551806186459009
"ENSMUSG00000002812",5039,0.546735463385592
"ENSMUSG00000027560",1768,0.525452488687783
"ENSMUSG00000003814",2880,0.507638888888889
"ENSMUSG00000037960",1477,0.542315504400812
"ENSMUSG00000031444",2731,0.527279384840718
"ENSMUSG00000035557",1551,0.556415215989684
"ENSMUSG00000035049",4340,0.490322580645161
"ENSMUSG00000020089",2902,0.450034458993797
"ENSMUSG00000002319",4669,0.551295780681088
"ENSMUSG00000028063",5838,0.513360739979445
"ENSMUSG00000032238",13071,0.428429347410298
"ENSMUSG00000037851",5272,0.486153262518968
"ENSMUSG00000000290",3052,0.532437745740498
"ENSMUSG00000086322",2124,0.589924670433145
"ENSMUSG00000016520",4557,0.480140443274084
"ENSMUSG00000030774",3943,0.488460563023079
"ENSMUSG00000022756",4153,0.438718998314471
"ENSMUSG00000022758",3995,0.54342928660826
"ENSMUSG00000013698",3861,0.539238539238539
"ENSMUSG00000004356",10199,0.437199725463281
"ENSMUSG00000026989",679,0.460972017673049
"ENSMUSG00000046329",5294,0.52304495655459
"ENSMUSG00000059900",2140,0.510747663551402
"ENSMUSG00000000489",4161,0.57438115837539
"ENSMUSG00000078763",1864,0.457618025751073
"ENSMUSG00000004098",6809,0.516669114407402
"ENSMUSG00000038738",10514,0.612611755754233
"ENSMUSG00000064147",5065,0.569002961500494
"ENSMUSG00000073489",3561,0.376860432462791
"ENSMUSG00000037242",6572,0.48919659160073
"ENSMUSG00000015653",12144,0.44145256916996
"ENSMUSG00000021804",4786,0.466569160050146
"ENSMUSG00000022367",4237,0.469907953740854
"ENSMUSG00000002658",1717,0.511939429237041
"ENSMUSG00000043456",12295,0.477673851159008
"ENSMUSG00000022462",8838,0.468658067436072
"ENSMUSG00000003949",6681,0.480616674150576
"ENSMUSG00000004609",7771,0.446145927165101
"ENSMUSG00000025348",8092,0.512605042016807
"ENSMUSG00000093460",11884,0.478374284752609
"ENSMUSG00000009376",7679,0.446282067977601
"ENSMUSG00000020238",3465,0.576911976911977
"ENSMUSG00000051439",1732,0.527713625866051
"ENSMUSG00000041773",4737,0.508338610935191
"ENSMUSG00000029334",5369,0.474390016762898
"ENSMUSG00000028906",16386,0.484010740876358
"ENSMUSG00000079523",1276,0.623824451410658
"ENSMUSG00000000058",3335,0.392503748125937
"ENSMUSG00000051391",5500,0.479454545454545
"ENSMUSG00000030782",5585,0.514234556848702
"ENSMUSG00000058135",1473,0.527494908350306
"ENSMUSG00000055116",7523,0.483982453808321
"ENSMUSG00000072966",4540,0.478854625550661
"ENSMUSG00000064215",1467,0.50920245398773
"ENSMUSG00000015354",4625,0.46227027027027
"ENSMUSG00000017929",4308,0.498839368616527
"ENSMUSG00000041992",12785,0.445522096206492
"ENSMUSG00000041078",5962,0.497819523649782
"ENSMUSG00000049939",3996,0.39964964964965
"ENSMUSG00000022094",10550,0.48
"ENSMUSG00000031799",4269,0.508784258608573
"ENSMUSG00000035042",960,0.529166666666667
"ENSMUSG00000058587",11151,0.441933458882611
"ENSMUSG00000026073",1908,0.485849056603774
"ENSMUSG00000028069",2447,0.506334286881896
"ENSMUSG00000049606",14001,0.420112849082208
"ENSMUSG00000026547",2082,0.559558117195005
"ENSMUSG00000068328",3276,0.565323565323565
"ENSMUSG00000042834",3908,0.453684749232344
"ENSMUSG00000025350",2809,0.510145959416162
"ENSMUSG00000036503",10019,0.385367801177762
"ENSMUSG00000022483",9243,0.543654657578708
"ENSMUSG00000037379",2947,0.465897522904649
"ENSMUSG00000029752",2735,0.452650822669104
"ENSMUSG00000027244",4368,0.438873626373626
"ENSMUSG00000001827",2297,0.475838049629952
"ENSMUSG00000021071",14741,0.455396513126654
"ENSMUSG00000047810",5032,0.587837837837838
"ENSMUSG00000030583",16555,0.499969797644216
"ENSMUSG00000029777",3119,0.483167681949343
"ENSMUSG00000059493",8805,0.444747302668938
"ENSMUSG00000031168",2310,0.468398268398268
"ENSMUSG00000031078",4192,0.528148854961832
"ENSMUSG00000029594",5280,0.563636363636364
"ENSMUSG00000045838",4779,0.552207574806445
"ENSMUSG00000036948",3847,0.575253444242267
"ENSMUSG00000003541",1131,0.543766578249337
"ENSMUSG00000020706",4358,0.475217989903626
"ENSMUSG00000021457",9362,0.517731254005554
"ENSMUSG00000028364",7772,0.4094184251158
"ENSMUSG00000056973",2369,0.409033347403968
"ENSMUSG00000027933",5677,0.482825435969702
"ENSMUSG00000006301",12659,0.507702030176159
"ENSMUSG00000051951",6094,0.425172300623564
"ENSMUSG00000008206",12264,0.448303979125897
"ENSMUSG00000056602",29729,0.471526119277473
"ENSMUSG00000006611",3572,0.483482642777156
"ENSMUSG00000025980",2642,0.514004542013626
"ENSMUSG00000032577",5542,0.51389390111873
"ENSMUSG00000038552",3039,0.553471536689701
"ENSMUSG00000015961",4531,0.412933127344957
"ENSMUSG00000018293",2405,0.528066528066528
"ENSMUSG00000009687",4192,0.539837786259542
"ENSMUSG00000022389",7867,0.5134104487098
"ENSMUSG00000053175",2475,0.553131313131313
"ENSMUSG00000022565",18113,0.514050681830729
"ENSMUSG00000005054",603,0.492537313432836
"ENSMUSG00000057113",2665,0.419136960600375
"ENSMUSG00000010064",5277,0.513549365169604
"ENSMUSG00000037169",3295,0.504400606980273
"ENSMUSG00000037552",6797,0.578637634250405
"ENSMUSG00000031960",9282,0.530920060331825
"ENSMUSG00000058099",7970,0.513174404015057
"ENSMUSG00000030104",6453,0.461645746164575
"ENSMUSG00000019960",3132,0.48882503192848
"ENSMUSG00000052512",32228,0.502730544867817
"ENSMUSG00000058818",4471,0.47819279803176
"ENSMUSG00000038319",4845,0.532094943240454
"ENSMUSG00000004891",6416,0.553148379052369
"ENSMUSG00000109917",3920,0.493112244897959
"ENSMUSG00000040128",2095,0.42673031026253
"ENSMUSG00000027460",2335,0.562740899357602
"ENSMUSG00000024245",1696,0.532429245283019
"ENSMUSG00000090053",3616,0.485896017699115
"ENSMUSG00000043091",2287,0.55050284215129
"ENSMUSG00000028771",3509,0.463094898831576
"ENSMUSG00000021360",7051,0.479506452985392
"ENSMUSG00000028600",4270,0.413583138173302
"ENSMUSG00000022769",1108,0.565884476534296
"ENSMUSG00000029994",4645,0.496663078579117
"ENSMUSG00000026072",6363,0.453873958824454
"ENSMUSG00000031373",6354,0.432798237330815
"ENSMUSG00000044456",6835,0.54659839063643
"ENSMUSG00000025025",6823,0.493331379158728
"ENSMUSG00000095567",4160,0.550721153846154
"ENSMUSG00000022003",4571,0.447166921898928
"ENSMUSG00000020773",2735,0.489945155393053
"ENSMUSG00000020538",5634,0.510827121050763
"ENSMUSG00000021127",2990,0.527090301003345
"ENSMUSG00000038780",6336,0.529829545454545
"ENSMUSG00000054459",1956,0.428936605316973
"ENSMUSG00000029838",3433,0.44829595106321
"ENSMUSG00000027015",5339,0.473871511519011
"ENSMUSG00000000957",5960,0.557214765100671
"ENSMUSG00000062867",3077,0.52291192720182
"ENSMUSG00000063873",4564,0.540753724802804
"ENSMUSG00000022246",8462,0.458402268967147
"ENSMUSG00000015839",3796,0.490516332982086
"ENSMUSG00000089762",2683,0.638464405516213
"ENSMUSG00000047787",5872,0.5391689373297
"ENSMUSG00000020905",4745,0.461327713382508
"ENSMUSG00000033355",2131,0.488033786954482
"ENSMUSG00000018340",2930,0.494880546075085
"ENSMUSG00000035181",20676,0.427500483652544
"ENSMUSG00000028464",2909,0.572705397043658
"ENSMUSG00000020893",5631,0.587284674125377
"ENSMUSG00000023800",12741,0.477435052193705
"ENSMUSG00000007041",1799,0.543079488604781
"ENSMUSG00000035948",7196,0.387715397443024
"ENSMUSG00000020042",10033,0.534934715439051
"ENSMUSG00000025324",5587,0.517809199928405
"ENSMUSG00000016239",3812,0.505246589716684
"ENSMUSG00000008153",5867,0.523947502982785
"ENSMUSG00000035517",3958,0.502273875694795
"ENSMUSG00000022763",4688,0.54372866894198
"ENSMUSG00000046186",6900,0.440579710144928
"ENSMUSG00000022098",8870,0.531116121758737
"ENSMUSG00000054203",4177,0.402441943978932
"ENSMUSG00000063063",6947,0.435871599251475
"ENSMUSG00000024772",3705,0.585964912280702
"ENSMUSG00000040322",3431,0.425240454677936
"ENSMUSG00000028756",2673,0.565282454171343
"ENSMUSG00000040562",1679,0.497915425848719
"ENSMUSG00000057933",1177,0.404418011894647
"ENSMUSG00000054469",4894,0.465059256232121
"ENSMUSG00000018927",1795,0.426740947075209
"ENSMUSG00000043384",8119,0.446237221332676
"ENSMUSG00000001794",2477,0.496972143722245
"ENSMUSG00000029407",5847,0.443817342226783
"ENSMUSG00000024242",9911,0.457673292301483
"ENSMUSG00000030000",10139,0.521451819706085
"ENSMUSG00000048582",2963,0.505231184610192
"ENSMUSG00000026864",4229,0.456136202411918
"ENSMUSG00000028962",8322,0.541816870944484
"ENSMUSG00000037060",1662,0.569193742478941
"ENSMUSG00000042379",2097,0.434430138292799
"ENSMUSG00000027332",5505,0.513896457765668
"ENSMUSG00000034930",4269,0.59803232607168
"ENSMUSG00000024713",14447,0.427493597286634
"ENSMUSG00000031066",4732,0.49112426035503
"ENSMUSG00000056310",7388,0.501082837033026
"ENSMUSG00000047878",2278,0.537313432835821
"ENSMUSG00000043740",5256,0.509703196347032
"ENSMUSG00000002603",5042,0.567036890122967
"ENSMUSG00000025130",2861,0.541069556099266
"ENSMUSG00000029103",4116,0.534013605442177
"ENSMUSG00000049807",6637,0.609612776857014
"ENSMUSG00000063455",13450,0.468029739776952
"ENSMUSG00000040354",3423,0.520595968448729
"ENSMUSG00000001911",7351,0.545640048972929
"ENSMUSG00000025823",2399,0.478532721967486
"ENSMUSG00000032816",9481,0.529585486763
"ENSMUSG00000004885",1322,0.520423600605144
"ENSMUSG00000021678",2741,0.481940897482671
"ENSMUSG00000052337",11353,0.42702369417775
"ENSMUSG00000103441",975,0.365128205128205
"ENSMUSG00000049122",6065,0.404781533388293
"ENSMUSG00000031490",2196,0.485428051001821
"ENSMUSG00000023044",3831,0.490472461498303
"ENSMUSG00000013419",7063,0.584878946623248
"ENSMUSG00000033220",3103,0.549145987753787
"ENSMUSG00000005103",8899,0.492302505899539
"ENSMUSG00000035697",4478,0.590665475658776
"ENSMUSG00000021556",4424,0.479656419529837
"ENSMUSG00000057315",8792,0.46041856232939
"ENSMUSG00000059588",4882,0.353748463744367
"ENSMUSG00000018909",11175,0.529574944071588
"ENSMUSG00000055980",9144,0.501421697287839
"ENSMUSG00000056054",694,0.459654178674352
"ENSMUSG00000028862",4604,0.595351867940921
"ENSMUSG00000022534",3251,0.428175945862811
"ENSMUSG00000022126",2623,0.47579107891727
"ENSMUSG00000052727",15846,0.454562665656948
"ENSMUSG00000038587",6728,0.525862068965517
"ENSMUSG00000027405",4099,0.50085386679678
"ENSMUSG00000032649",4245,0.497055359246172
"ENSMUSG00000027712",1777,0.457512661789533
"ENSMUSG00000004849",2198,0.563694267515924
"ENSMUSG00000041605",4977,0.530640948362467
"ENSMUSG00000032038",2923,0.454327745466986
"ENSMUSG00000024236",10701,0.496589103822073
"ENSMUSG00000022969",3808,0.497899159663866
"ENSMUSG00000033713",11501,0.463090166072515
"ENSMUSG00000056201",2844,0.511603375527426
"ENSMUSG00000040003",11348,0.475502291152626
"ENSMUSG00000031278",5405,0.428492136910268
"ENSMUSG00000002055",5624,0.498399715504979
"ENSMUSG00000040640",9728,0.449321546052632
"ENSMUSG00000002365",3617,0.496820569532762
"ENSMUSG00000031875",2986,0.552578700602813
"ENSMUSG00000046743",17165,0.49408680454413
"ENSMUSG00000025047",9756,0.528290282902829
"ENSMUSG00000062519",11758,0.441826841299541
"ENSMUSG00000022272",10122,0.534874530725153
"ENSMUSG00000018848",3228,0.431226765799257
"ENSMUSG00000031853",5693,0.540137010363604
"ENSMUSG00000001082",2894,0.58465791292329
"ENSMUSG00000022051",3859,0.464887276496502
"ENSMUSG00000034457",5891,0.399083347479206
"ENSMUSG00000061877",640,0.509375
"ENSMUSG00000053774",12655,0.394231529039905
"ENSMUSG00000027832",2682,0.489560029828486
"ENSMUSG00000030643",9642,0.384982368803153
"ENSMUSG00000060147",5409,0.446478092068774
"ENSMUSG00000037104",6416,0.465866583541147
"ENSMUSG00000028194",3983,0.496610595028873
"ENSMUSG00000039886",1730,0.568208092485549
"ENSMUSG00000005481",5155,0.539088263821533
"ENSMUSG00000034832",16695,0.519616651692123
"ENSMUSG00000023272",1366,0.547584187408492
"ENSMUSG00000043298",2298,0.4177545691906
"ENSMUSG00000044707",2781,0.538655160014383
"ENSMUSG00000026749",10714,0.48207952212059
"ENSMUSG00000048148",12067,0.511809066047899
"ENSMUSG00000035486",2678,0.612397311426438
"ENSMUSG00000022241",5901,0.451279444162006
"ENSMUSG00000022311",16882,0.383248430280772
"ENSMUSG00000006546",1193,0.524727577535624
"ENSMUSG00000079436",1270,0.362204724409449
"ENSMUSG00000071068",4917,0.507829977628635
"ENSMUSG00000068566",4480,0.5015625
"ENSMUSG00000056515",3813,0.515604510883819
"ENSMUSG00000027195",2407,0.447029497299543
"ENSMUSG00000027774",4419,0.453496266123557
"ENSMUSG00000032064",9971,0.456022465148932
"ENSMUSG00000032085",1988,0.487424547283702
"ENSMUSG00000019988",4091,0.447323392813493
"ENSMUSG00000023827",2701,0.527582376897445
"ENSMUSG00000038349",6687,0.444743532226709
"ENSMUSG00000041482",17162,0.43153478615546
"ENSMUSG00000041852",8245,0.522619769557307
"ENSMUSG00000040998",5026,0.485077596498209
"ENSMUSG00000070284",2785,0.552962298025135
"ENSMUSG00000033039",8341,0.565399832154418
"ENSMUSG00000017724",3104,0.544136597938144
"ENSMUSG00000029859",3928,0.488289205702648
"ENSMUSG00000037465",4179,0.484326393874133
"ENSMUSG00000037573",2288,0.456730769230769
"ENSMUSG00000017057",3712,0.411637931034483
"ENSMUSG00000026796",4672,0.577696917808219
"ENSMUSG00000055737",9053,0.413122721749696
"ENSMUSG00000025492",678,0.52212389380531
"ENSMUSG00000034245",3849,0.561704338789296
"ENSMUSG00000040463",5803,0.539376184732035
"ENSMUSG00000009013",3890,0.505398457583548
"ENSMUSG00000046854",2494,0.567361668003208
"ENSMUSG00000046623",1446,0.475795297372061
"ENSMUSG00000071637",3746,0.51601708489055
"ENSMUSG00000024053",5505,0.461035422343324
"ENSMUSG00000005514",4021,0.579457846306889
"ENSMUSG00000034312",15941,0.471551345586852
"ENSMUSG00000026245",2620,0.456488549618321
"ENSMUSG00000050721",5547,0.509104020191094
"ENSMUSG00000036949",2998,0.426617745163442
"ENSMUSG00000006494",7779,0.463427175729528
"ENSMUSG00000028874",3863,0.522391923375615
"ENSMUSG00000027875",3290,0.508206686930091
"ENSMUSG00000028937",2124,0.574387947269303
"ENSMUSG00000004473",2978,0.566151779717931
"ENSMUSG00000030435",4113,0.550692924872356
"ENSMUSG00000075284",5896,0.491180461329715
"ENSMUSG00000030852",15793,0.536883429367441
"ENSMUSG00000045136",2294,0.512205754141238
"ENSMUSG00000045092",3046,0.465528562048588
"ENSMUSG00000041736",1051,0.581351094196004
"ENSMUSG00000058755",2272,0.543573943661972
"ENSMUSG00000071669",6435,0.515928515928516
"ENSMUSG00000028082",9004,0.474677920924034
"ENSMUSG00000032482",10074,0.522334723049434
"ENSMUSG00000004929",5059,0.585688871318442
"ENSMUSG00000035200",3723,0.515981735159817
"ENSMUSG00000026822",2623,0.55051467784979
"ENSMUSG00000030772",3359,0.529324203632033
"ENSMUSG00000022840",7184,0.594376391982183
"ENSMUSG00000089809",13805,0.469612459253893
"ENSMUSG00000042677",2882,0.553088133240805
"ENSMUSG00000039671",11031,0.509563956123652
"ENSMUSG00000037661",4227,0.464868701206529
"ENSMUSG00000031557",5579,0.502419788492561
"ENSMUSG00000021754",7447,0.470927890425675
"ENSMUSG00000044365",13401,0.408029251548392
"ENSMUSG00000042759",3779,0.559407250595396
"ENSMUSG00000037995",6612,0.573653962492438
"ENSMUSG00000029174",7405,0.528561782579338
"ENSMUSG00000047446",7701,0.410596026490066
"ENSMUSG00000054905",412,0.407766990291262
"ENSMUSG00000026193",11685,0.449037227214377
"ENSMUSG00000015176",3971,0.519012843112566
"ENSMUSG00000038366",6495,0.551193225558122
"ENSMUSG00000028132",7874,0.448818897637795
"ENSMUSG00000015850",4198,0.562172463077656
"ENSMUSG00000028964",2479,0.538926986688181
"ENSMUSG00000020427",3130,0.51405750798722
"ENSMUSG00000061132",5991,0.439492572191621
"ENSMUSG00000042348",3515,0.428165007112376
"ENSMUSG00000047146",15457,0.449893252248172
"ENSMUSG00000049723",7237,0.396434986873014
"ENSMUSG00000001025",1367,0.538405267008047
"ENSMUSG00000021996",3366,0.431372549019608
"ENSMUSG00000027018",2886,0.412681912681913
"ENSMUSG00000051343",6124,0.531515349444807
"ENSMUSG00000025504",5377,0.557559977682723
"ENSMUSG00000052942",8842,0.473874688984393
"ENSMUSG00000001525",3327,0.537421100090171
"ENSMUSG00000032643",1683,0.57397504456328
"ENSMUSG00000028333",1716,0.518065268065268
"ENSMUSG00000049130",2570,0.483268482490272
"ENSMUSG00000045954",3055,0.443535188216039
"ENSMUSG00000030084",9054,0.568257123923128
"ENSMUSG00000021998",9504,0.442024410774411
"ENSMUSG00000009418",18814,0.485595832890401
"ENSMUSG00000015305",8568,0.448295985060691
"ENSMUSG00000028670",2054,0.5730282375852
"ENSMUSG00000017493",4416,0.547101449275362
"ENSMUSG00000026014",20498,0.413503756464045
"ENSMUSG00000041360",8626,0.427892418270345
"ENSMUSG00000025743",5989,0.580397395224578
"ENSMUSG00000013611",2935,0.50221465076661
"ENSMUSG00000051615",4191,0.488188976377953
"ENSMUSG00000078607",1685,0.583976261127596
"ENSMUSG00000034361",3200,0.5221875
"ENSMUSG00000022425",5779,0.413047240006922
"ENSMUSG00000020737",2149,0.563517915309446
"ENSMUSG00000036078",3136,0.532525510204082
"ENSMUSG00000074457",1617,0.553494124922696
"ENSMUSG00000025132",2258,0.613374667847653
"ENSMUSG00000034422",9306,0.436600042983022
"ENSMUSG00000039474",3787,0.547398996567204
"ENSMUSG00000034522",4733,0.55440523980562
"ENSMUSG00000053716",3356,0.57419547079857
"ENSMUSG00000030967",5472,0.432748538011696
"ENSMUSG00000007888",1644,0.625912408759124
"ENSMUSG00000024270",4073,0.495212374171372
"ENSMUSG00000025366",7267,0.513692032475574
"ENSMUSG00000049303",5539,0.539267015706806
"ENSMUSG00000032114",2857,0.55792789639482
"ENSMUSG00000024587",4355,0.452353616532721
"ENSMUSG00000021752",3257,0.486337120049125
"ENSMUSG00000020260",7878,0.557882711348058
"ENSMUSG00000046245",3090,0.510355987055016
"ENSMUSG00000054808",6127,0.488167129100702
"ENSMUSG00000020775",2550,0.553725490196078
"ENSMUSG00000056612",1526,0.628440366972477
"ENSMUSG00000033285",5218,0.435799156765044
"ENSMUSG00000021390",2566,0.363211223694466
"ENSMUSG00000056758",6772,0.511075014766686
"ENSMUSG00000117987",1858,0.530678148546825
"ENSMUSG00000000056",4806,0.488555971702039
"ENSMUSG00000030386",7680,0.417447916666667
"ENSMUSG00000026305",6469,0.489565620652342
"ENSMUSG00000025911",3780,0.448677248677249
"ENSMUSG00000025510",2741,0.55964976286027
"ENSMUSG00000052310",2364,0.532148900169205
"ENSMUSG00000028630",6251,0.537673972164454
"ENSMUSG00000013846",6851,0.481097649978105
"ENSMUSG00000025608",5488,0.530065597667638
"ENSMUSG00000066232",11169,0.389649923896499
"ENSMUSG00000048232",4691,0.4962694521424
"ENSMUSG00000058756",4614,0.566970091027308
"ENSMUSG00000027613",2702,0.484826054774241
"ENSMUSG00000015357",3494,0.446193474527762
"ENSMUSG00000041798",3033,0.504780745136828
"ENSMUSG00000050994",6192,0.391311369509044
"ENSMUSG00000062760",6551,0.551976797435506
"ENSMUSG00000030341",2591,0.559629486684678
"ENSMUSG00000058318",8561,0.493517112486859
"ENSMUSG00000004035",1601,0.536539662710806
"ENSMUSG00000028909",7113,0.536341909180374
"ENSMUSG00000033501",875,0.467428571428571
"ENSMUSG00000006342",3435,0.564774381368268
