"","SYMBOL","gene_id","length","gc","DESCRIPTION","GENEBIOTYPE","SEQCOORDSYSTEM","ENTREZID"
"ENSMUSG00000071456","1110002L01Rik","ENSMUSG00000071456",4131,0.452674897119342,"RIKEN cDNA 1110002L01 gene [Source:MGI Symbol;Acc:MGI:1915821]","lncRNA","chromosome","100043040"
"ENSMUSG00000106291","1110003F10Rik","ENSMUSG00000106291",767,0.41851368970013,"RIKEN cDNA 1110003F10 gene [Source:MGI Symbol;Acc:MGI:1915726]","TEC","chromosome","68476"
"ENSMUSG00000030663","1110004F10Rik","ENSMUSG00000030663",2490,0.473092369477912,"RIKEN cDNA 1110004F10 gene [Source:MGI Symbol;Acc:MGI:1929274]","protein_coding","chromosome","56372"
"ENSMUSG00000107121","1110006O24Rik","ENSMUSG00000107121",768,0.59375,"RIKEN cDNA 1110006O24 gene [Source:MGI Symbol;Acc:MGI:1913373]","lncRNA","chromosome","66123"
"ENSMUSG00000039195","1110008P14Rik","ENSMUSG00000039195",2694,0.548255382331106,"RIKEN cDNA 1110008P14 gene [Source:MGI Symbol;Acc:MGI:1920987]","protein_coding","chromosome","73737"
"ENSMUSG00000045237","1110012L19Rik","ENSMUSG00000045237",1094,0.488117001828154,"RIKEN cDNA 1110012L19 gene [Source:MGI Symbol;Acc:MGI:1915868]","protein_coding","chromosome","68618"
"ENSMUSG00000085151","1110018N20Rik","ENSMUSG00000085151",1579,0.514249525015833,"RIKEN cDNA 1110018N20 gene [Source:MGI Symbol;Acc:MGI:1915753]","lncRNA","chromosome","68941"
"ENSMUSG00000097616","1110019D14Rik","ENSMUSG00000097616",1734,0.393886966551326,"RIKEN cDNA 1110019D14 gene [Source:MGI Symbol;Acc:MGI:1923561]","lncRNA","chromosome","76311"
"ENSMUSG00000097047","1110020A21Rik","ENSMUSG00000097047",1272,0.430817610062893,"RIKEN cDNA 1110020A21 gene [Source:MGI Symbol;Acc:MGI:1915781]","lncRNA","chromosome","68531"
"ENSMUSG00000103520","1110025M09Rik","ENSMUSG00000103520",855,0.419883040935673,"RIKEN cDNA 1110025M09 gene [Source:MGI Symbol;Acc:MGI:1915885]","TEC","chromosome","68635"
"ENSMUSG00000037971","1110032A03Rik","ENSMUSG00000037971",5293,0.43850368411109,"RIKEN cDNA 1110032A03 gene [Source:MGI Symbol;Acc:MGI:1915971]","protein_coding","chromosome","68721"
"ENSMUSG00000092203","1110038B12Rik","ENSMUSG00000092203",1811,0.485367200441745,"RIKEN cDNA 1110038B12 gene [Source:MGI Symbol;Acc:MGI:1916013]","lncRNA","chromosome","68763"
"ENSMUSG00000063236","1110038F14Rik","ENSMUSG00000063236",1916,0.530793319415449,"RIKEN cDNA 1110038F14 gene [Source:MGI Symbol;Acc:MGI:2152337]","protein_coding","chromosome","117171"
"ENSMUSG00000085457","1110046J04Rik","ENSMUSG00000085457",3487,0.454258675078864,"RIKEN cDNA 1110046J04 gene [Source:MGI Symbol;Acc:MGI:1916058]","lncRNA","chromosome","68808"
"ENSMUSG00000040591","1110051M20Rik","ENSMUSG00000040591",5202,0.42079969242599,"RIKEN cDNA 1110051M20 gene [Source:MGI Symbol;Acc:MGI:1915079]","protein_coding","chromosome","228356"
"ENSMUSG00000035171","1110059E24Rik","ENSMUSG00000035171",3067,0.408868601238996,"RIKEN cDNA 1110059E24 gene [Source:MGI Symbol;Acc:MGI:1913456]","protein_coding","chromosome","66206"
"ENSMUSG00000032551","1110059G10Rik","ENSMUSG00000032551",5594,0.415623882731498,"RIKEN cDNA 1110059G10 gene [Source:MGI Symbol;Acc:MGI:1913452]","protein_coding","chromosome","66202"
"ENSMUSG00000078570","1110065P20Rik","ENSMUSG00000078570",2069,0.618173030449493,"RIKEN cDNA 1110065P20 gene [Source:MGI Symbol;Acc:MGI:1916170]","protein_coding","chromosome","68920"
"ENSMUSG00000043687","1190005I06Rik","ENSMUSG00000043687",1083,0.554016620498615,"RIKEN cDNA 1190005I06 gene [Source:MGI Symbol;Acc:MGI:1916168]","protein_coding","chromosome","68918"
"ENSMUSG00000063320","1190007I07Rik","ENSMUSG00000063320",1197,0.473684210526316,"RIKEN cDNA 1190007I07 gene [Source:MGI Symbol;Acc:MGI:3698433]","protein_coding","chromosome","544717"
"ENSMUSG00000087684","1200007C13Rik","ENSMUSG00000087684",2455,0.506313645621181,"RIKEN cDNA 1200007C13 gene [Source:MGI Symbol;Acc:MGI:1921369]","lncRNA","chromosome","74119"
"ENSMUSG00000097290","1300002E11Rik","ENSMUSG00000097290",4213,0.433420365535248,"RIKEN cDNA 1300002E11 gene [Source:MGI Symbol;Acc:MGI:1919001]","lncRNA","chromosome","100043489"
"ENSMUSG00000112545","1300014J16Rik","ENSMUSG00000112545",1337,0.513089005235602,"RIKEN cDNA 1300014J16 gene [Source:MGI Symbol;Acc:MGI:1921410]","lncRNA","chromosome","74160"
"ENSMUSG00000033688","1300017J02Rik","ENSMUSG00000033688",4508,0.455412599822538,"RIKEN cDNA 1300017J02 gene [Source:MGI Symbol;Acc:MGI:1919025]","protein_coding","chromosome","71775"
"ENSMUSG00000096221","1500002C15Rik","ENSMUSG00000096221",2183,0.514429683921209,"RIKEN cDNA 1500002C15 gene [Source:MGI Symbol;Acc:MGI:1916196]","lncRNA","chromosome","102636313"
"ENSMUSG00000097595","1500002F19Rik","ENSMUSG00000097595",1239,0.478611783696529,"RIKEN cDNA 1500002F19 gene [Source:MGI Symbol;Acc:MGI:1923933]","lncRNA","chromosome","76683"
"ENSMUSG00000098912","1500004A13Rik","ENSMUSG00000098912",13854,0.426880323372311,"RIKEN cDNA 1500004A13 gene [Source:MGI Symbol;Acc:MGI:2442808]","lncRNA","chromosome","319830"
"ENSMUSG00000068099","1500009C09Rik","ENSMUSG00000068099",1904,0.550945378151261,"RIKEN cDNA 1500009C09 gene [Source:MGI Symbol;Acc:MGI:1923755]","protein_coding","chromosome","76505"
"ENSMUSG00000087651","1500009L16Rik","ENSMUSG00000087651",3465,0.464646464646465,"RIKEN cDNA 1500009L16 gene [Source:MGI Symbol;Acc:MGI:1917034]","protein_coding","chromosome","69784"
"ENSMUSG00000072694","1500011B03Rik","ENSMUSG00000072694",2693,0.50538432974378,"RIKEN cDNA 1500011B03 gene [Source:MGI Symbol;Acc:MGI:1913486]","protein_coding","chromosome","66236"
"ENSMUSG00000098702","1500015A07Rik","ENSMUSG00000098702",2296,0.471689895470383,"RIKEN cDNA 1500015A07 gene [Source:MGI Symbol;Acc:MGI:1916232]","lncRNA","chromosome","68982"
"ENSMUSG00000094732","1500015L24Rik","ENSMUSG00000094732",2743,0.423259205249727,"RIKEN cDNA 1500015L24 gene [Source:MGI Symbol;Acc:MGI:1916244]","lncRNA","chromosome","68994"
"ENSMUSG00000035595","1600002K03Rik","ENSMUSG00000035595",678,0.563421828908555,"RIKEN cDNA 1600002K03 gene [Source:MGI Symbol;Acc:MGI:1917020]","protein_coding","chromosome","69770"
"ENSMUSG00000050088","1600012H06Rik","ENSMUSG00000050088",3294,0.440497874924104,"RIKEN cDNA 1600012H06 gene [Source:MGI Symbol;Acc:MGI:1915162]","protein_coding","chromosome","67912"
"ENSMUSG00000054676","1600014C10Rik","ENSMUSG00000054676",3949,0.510002532286655,"RIKEN cDNA 1600014C10 gene [Source:MGI Symbol;Acc:MGI:1919494]","protein_coding","chromosome","72244"
"ENSMUSG00000097048","1600020E01Rik","ENSMUSG00000097048",4328,0.503465804066543,"RIKEN cDNA 1600020E01 gene [Source:MGI Symbol;Acc:MGI:1919262]","lncRNA","chromosome","72012"
"ENSMUSG00000075511","1700001L05Rik","ENSMUSG00000075511",6112,0.443390052356021,"RIKEN cDNA 1700001L05 gene [Source:MGI Symbol;Acc:MGI:1916541]","lncRNA","chromosome","69291"
"ENSMUSG00000044320","1700001O22Rik","ENSMUSG00000044320",2788,0.519368723098996,"RIKEN cDNA 1700001O22 gene [Source:MGI Symbol;Acc:MGI:1923631]","protein_coding","chromosome","73598"
"ENSMUSG00000030030","1700003E16Rik","ENSMUSG00000030030",2221,0.606033318325079,"RIKEN cDNA 1700003E16 gene [Source:MGI Symbol;Acc:MGI:1919087]","protein_coding","chromosome","71837"
"ENSMUSG00000101225","1700008J07Rik","ENSMUSG00000101225",2432,0.512335526315789,"RIKEN cDNA 1700008J07 gene [Source:MGI Symbol;Acc:MGI:1916610]","lncRNA","chromosome","629159"
"ENSMUSG00000023873","1700010I14Rik","ENSMUSG00000023873",2292,0.484729493891798,"RIKEN cDNA 1700010I14 gene [Source:MGI Symbol;Acc:MGI:1914181]","protein_coding","chromosome","66931"
"ENSMUSG00000110424","1700012D14Rik","ENSMUSG00000110424",4153,0.429568986274982,"RIKEN cDNA 1700012D14 gene [Source:MGI Symbol;Acc:MGI:1922729]","lncRNA","chromosome","75479"
"ENSMUSG00000032300","1700017B05Rik","ENSMUSG00000032300",5235,0.579369627507163,"RIKEN cDNA 1700017B05 gene [Source:MGI Symbol;Acc:MGI:1921461]","protein_coding","chromosome","74211"
"ENSMUSG00000100075","1700018L02Rik","ENSMUSG00000100075",2485,0.519919517102616,"RIKEN cDNA 1700018L02 gene [Source:MGI Symbol;Acc:MGI:1914579]","lncRNA","chromosome","67329"
"ENSMUSG00000043629","1700019D03Rik","ENSMUSG00000043629",4330,0.42933025404157,"RIKEN cDNA 1700019D03 gene [Source:MGI Symbol;Acc:MGI:1914330]","protein_coding","chromosome","67080"
"ENSMUSG00000100937","1700020D05Rik","ENSMUSG00000100937",1021,0.523996082272282,"RIKEN cDNA 1700020D05 gene [Source:MGI Symbol;Acc:MGI:1922805]","protein_coding","chromosome","75555"
"ENSMUSG00000019797","1700021F05Rik","ENSMUSG00000019797",4141,0.51726636078242,"RIKEN cDNA 1700021F05 gene [Source:MGI Symbol;Acc:MGI:1915101]","protein_coding","chromosome","67851"
"ENSMUSG00000020940","1700023F06Rik","ENSMUSG00000020940",1452,0.49862258953168,"RIKEN cDNA 1700023F06 gene [Source:MGI Symbol;Acc:MGI:1916691]","protein_coding","chromosome",NA
"ENSMUSG00000032666","1700025G04Rik","ENSMUSG00000032666",11788,0.477689175432643,"RIKEN cDNA 1700025G04 gene [Source:MGI Symbol;Acc:MGI:1916649]","protein_coding","chromosome","69399"
"ENSMUSG00000097321","1700028E10Rik","ENSMUSG00000097321",6927,0.450700158798903,"RIKEN cDNA 1700028E10 gene [Source:MGI Symbol;Acc:MGI:1916713]","lncRNA","chromosome","625175"
"ENSMUSG00000089798","1700028K03Rik","ENSMUSG00000089798",7963,0.402612080874042,"RIKEN cDNA 1700028K03 gene [Source:MGI Symbol;Acc:MGI:1923671]","protein_coding","chromosome","76421"
"ENSMUSG00000078635","1700028N14Rik","ENSMUSG00000078635",747,0.522088353413655,"RIKEN cDNA 1700028N14 gene [Source:MGI Symbol;Acc:MGI:1920530]","lncRNA","chromosome","73280"
"ENSMUSG00000044916","1700029I15Rik","ENSMUSG00000044916",1348,0.549703264094956,"RIKEN cDNA 1700029I15 gene [Source:MGI Symbol;Acc:MGI:1916742]","protein_coding","chromosome","75641"
"ENSMUSG00000071103","1700029J07Rik","ENSMUSG00000071103",3006,0.392880904856953,"RIKEN cDNA 1700029J07 gene [Source:MGI Symbol;Acc:MGI:1916729]","protein_coding","chromosome","69479"
"ENSMUSG00000091071","1700030C10Rik","ENSMUSG00000091071",1471,0.586675730795377,"RIKEN cDNA 1700030C10 gene [Source:MGI Symbol;Acc:MGI:1916763]","transcribed_unprocessed_pseudogene","chromosome","69513"
"ENSMUSG00000099759","1700030C10Rik","ENSMUSG00000099759",1735,0.579250720461095,"RIKEN cDNA 1700030C10 gene [Source:MGI Symbol;Acc:MGI:1916763]","lncRNA","chromosome","69513"
"ENSMUSG00000031847","1700030J22Rik","ENSMUSG00000031847",2996,0.483644859813084,"RIKEN cDNA 1700030J22 gene [Source:MGI Symbol;Acc:MGI:1916778]","protein_coding","chromosome","69528"
"ENSMUSG00000052794","1700030K09Rik","ENSMUSG00000052794",2970,0.515488215488215,"RIKEN cDNA 1700030K09 gene [Source:MGI Symbol;Acc:MGI:1919504]","protein_coding","chromosome","72254"
"ENSMUSG00000055833","1700034H15Rik","ENSMUSG00000055833",6099,0.469585177898016,"RIKEN cDNA 1700034H15 gene [Source:MGI Symbol;Acc:MGI:1921515]","lncRNA","chromosome","98736"
"ENSMUSG00000005983","1700037C18Rik","ENSMUSG00000005983",3227,0.449023861171367,"RIKEN cDNA 1700037C18 gene [Source:MGI Symbol;Acc:MGI:1920511]","protein_coding","chromosome","73261"
"ENSMUSG00000027327","1700037H04Rik","ENSMUSG00000027327",2286,0.550306211723535,"RIKEN cDNA 1700037H04 gene [Source:MGI Symbol;Acc:MGI:1914576]","protein_coding","chromosome","67326"
"ENSMUSG00000043773","1700048O20Rik","ENSMUSG00000043773",2099,0.458789899952358,"RIKEN cDNA 1700048O20 gene [Source:MGI Symbol;Acc:MGI:1920637]","lncRNA","chromosome","69430"
"ENSMUSG00000099681","1700052K11Rik","ENSMUSG00000099681",3708,0.488942826321467,"RIKEN cDNA 1700052K11 gene [Source:MGI Symbol;Acc:MGI:1920681]","lncRNA","chromosome","73431"
"ENSMUSG00000070997","1700055D18Rik","ENSMUSG00000070997",3720,0.493279569892473,"RIKEN cDNA 1700055D18 gene [Source:MGI Symbol;Acc:MGI:1920655]","lncRNA","chromosome","73405"
"ENSMUSG00000044854","1700056E22Rik","ENSMUSG00000044854",1272,0.628930817610063,"RIKEN cDNA 1700056E22 gene [Source:MGI Symbol;Acc:MGI:1920613]","protein_coding","chromosome","73363"
"ENSMUSG00000084792","1700056N10Rik","ENSMUSG00000084792",1043,0.471716203259827,"RIKEN cDNA 1700056N10 gene [Source:MGI Symbol;Acc:MGI:1920642]","lncRNA","chromosome","73392"
"ENSMUSG00000038323","1700066M21Rik","ENSMUSG00000038323",3235,0.411746522411128,"RIKEN cDNA 1700066M21 gene [Source:MGI Symbol;Acc:MGI:1920717]","protein_coding","chromosome","73467"
"ENSMUSG00000020548","1700086D15Rik","ENSMUSG00000020548",1093,0.46843549862763,"RIKEN cDNA 1700086D15 gene [Source:MGI Symbol;Acc:MGI:1921532]","protein_coding","chromosome","74282"
"ENSMUSG00000097080","1700086O06Rik","ENSMUSG00000097080",2027,0.517513566847558,"RIKEN cDNA 1700086O06 gene [Source:MGI Symbol;Acc:MGI:1920766]","lncRNA","chromosome","73516"
"ENSMUSG00000115099","1700087I21Rik","ENSMUSG00000115099",4145,0.454282267792521,"RIKEN cDNA 1700087I21 gene [Source:MGI Symbol;Acc:MGI:1923869]","lncRNA","chromosome","76619"
"ENSMUSG00000033029","1700088E04Rik","ENSMUSG00000033029",5292,0.514172335600907,"RIKEN cDNA 1700088E04 gene [Source:MGI Symbol;Acc:MGI:1920774]","protein_coding","chromosome","27660"
"ENSMUSG00000020286","1700093K21Rik","ENSMUSG00000020286",2007,0.417538614848032,"RIKEN cDNA 1700093K21 gene [Source:MGI Symbol;Acc:MGI:1914608]","protein_coding","chromosome","67358"
"ENSMUSG00000118506","1700094D03Rik","ENSMUSG00000118506",3097,0.441394898288666,"RIKEN cDNA 1700094D03 gene [Source:MGI Symbol;Acc:MGI:1920795]","protein_coding","chromosome","73545"
"ENSMUSG00000101856","1700096K18Rik","ENSMUSG00000101856",1454,0.429848693259972,"RIKEN cDNA 1700096K18 gene [Source:MGI Symbol;Acc:MGI:1920821]","lncRNA","chromosome","73571"
"ENSMUSG00000097675","1700101I11Rik","ENSMUSG00000097675",1868,0.485010706638116,"RIKEN cDNA 1700101I11 gene [Source:MGI Symbol;Acc:MGI:1915180]","lncRNA","chromosome","100504641"
"ENSMUSG00000116852","1700102H20Rik","ENSMUSG00000116852",562,0.402135231316726,"RIKEN cDNA 1700102H20 gene [Source:MGI Symbol;Acc:MGI:1915480]","lncRNA","chromosome","68230"
"ENSMUSG00000032611","1700102P08Rik","ENSMUSG00000032611",1236,0.464401294498382,"RIKEN cDNA 1700102P08 gene [Source:MGI Symbol;Acc:MGI:2148248]","protein_coding","chromosome","112418"
"ENSMUSG00000101009","1700108F19Rik","ENSMUSG00000101009",3178,0.481749528005035,"RIKEN cDNA 1700108F19 gene [Source:MGI Symbol;Acc:MGI:1920814]","lncRNA","chromosome","73272"
"ENSMUSG00000008307","1700109H08Rik","ENSMUSG00000008307",3062,0.435336381450033,"RIKEN cDNA 1700109H08 gene [Source:MGI Symbol;Acc:MGI:1924286]","protein_coding","chromosome","77036"
"ENSMUSG00000097527","1700112J16Rik","ENSMUSG00000097527",2490,0.492771084337349,"RIKEN cDNA 1700112J16 gene [Source:MGI Symbol;Acc:MGI:1923878]","lncRNA","chromosome","76628"
"ENSMUSG00000096935","1700113A16Rik","ENSMUSG00000096935",1095,0.515068493150685,"RIKEN cDNA 1700113A16 gene [Source:MGI Symbol;Acc:MGI:1923892]","lncRNA","chromosome","76642"
"ENSMUSG00000100593","1700119H24Rik","ENSMUSG00000100593",588,0.535714285714286,"RIKEN cDNA 1700119H24 gene [Source:MGI Symbol;Acc:MGI:1923899]","lncRNA","chromosome","76649"
"ENSMUSG00000100599","1700120C14Rik","ENSMUSG00000100599",1952,0.525614754098361,"RIKEN cDNA 1700120C14 gene [Source:MGI Symbol;Acc:MGI:1920850]","lncRNA","chromosome","73600"
"ENSMUSG00000085614","1700123M08Rik","ENSMUSG00000085614",1260,0.480952380952381,"RIKEN cDNA 1700123M08 gene [Source:MGI Symbol;Acc:MGI:1923915]","lncRNA","chromosome","100503636"
"ENSMUSG00000040822","1700123O20Rik","ENSMUSG00000040822",1935,0.542635658914729,"RIKEN cDNA 1700123O20 gene [Source:MGI Symbol;Acc:MGI:1920893]","protein_coding","chromosome","58248"
"ENSMUSG00000099354","1700124L16Rik","ENSMUSG00000099354",1110,0.482882882882883,"RIKEN cDNA 1700124L16 gene [Source:MGI Symbol;Acc:MGI:1915184]","lncRNA","chromosome","67934"
"ENSMUSG00000071653","1810009A15Rik","ENSMUSG00000071653",1444,0.502770083102493,"RIKEN cDNA 1810009A15 gene [Source:MGI Symbol;Acc:MGI:1913526]","protein_coding","chromosome","66276"
"ENSMUSG00000078607","1810010H24Rik","ENSMUSG00000078607",1685,0.583976261127596,"RIKEN cDNA 1810010H24 gene [Source:MGI Symbol;Acc:MGI:1916316]","protein_coding","chromosome","69066"
"ENSMUSG00000022507","1810013L24Rik","ENSMUSG00000022507",4960,0.438306451612903,"RIKEN cDNA 1810013L24 gene [Source:MGI Symbol;Acc:MGI:1916303]","protein_coding","chromosome","69053"
"ENSMUSG00000097412","1810014B01Rik","ENSMUSG00000097412",2652,0.442307692307692,"RIKEN cDNA 1810014B01 gene [Source:MGI Symbol;Acc:MGI:1913513]","transcribed_unprocessed_pseudogene","chromosome","66263"
"ENSMUSG00000097115","1810019N24Rik","ENSMUSG00000097115",1555,0.439871382636656,"RIKEN cDNA 1810019N24 gene [Source:MGI Symbol;Acc:MGI:1916336]","lncRNA","chromosome","69086"
"ENSMUSG00000087331","1810021B22Rik","ENSMUSG00000087331",896,0.526785714285714,"RIKEN cDNA 1810021B22 gene [Source:MGI Symbol;Acc:MGI:1916370]","lncRNA","chromosome","69120"
"ENSMUSG00000044145","1810024B03Rik","ENSMUSG00000044145",3550,0.372112676056338,"RIKEN cDNA 1810024B03 gene [Source:MGI Symbol;Acc:MGI:1925560]","protein_coding","chromosome","329509"
"ENSMUSG00000101970","1810026B05Rik","ENSMUSG00000101970",8022,0.355023684866617,"RIKEN cDNA 1810026B05 gene [Source:MGI Symbol;Acc:MGI:1916420]","lncRNA","chromosome","69170"
"ENSMUSG00000044148","1810030O07Rik","ENSMUSG00000044148",2699,0.48573545757688,"RIKEN cDNA 1810030O07 gene [Source:MGI Symbol;Acc:MGI:1916405]","protein_coding","chromosome","69155"
"ENSMUSG00000097101","1810034E14Rik","ENSMUSG00000097101",2245,0.510467706013363,"RIKEN cDNA 1810034E14 gene [Source:MGI Symbol;Acc:MGI:1913753]","lncRNA","chromosome","66503"
"ENSMUSG00000054091","1810037I17Rik","ENSMUSG00000054091",1160,0.469827586206897,"RIKEN cDNA 1810037I17 gene [Source:MGI Symbol;Acc:MGI:1914954]","protein_coding","chromosome","67704"
"ENSMUSG00000100680","1810044D09Rik","ENSMUSG00000100680",486,0.526748971193416,"RIKEN cDNA 1810044D09 gene [Source:MGI Symbol;Acc:MGI:1917048]","lncRNA","chromosome","69798"
"ENSMUSG00000035372","1810055G02Rik","ENSMUSG00000035372",2351,0.552530837941302,"RIKEN cDNA 1810055G02 gene [Source:MGI Symbol;Acc:MGI:1919306]","protein_coding","chromosome","72056"
"ENSMUSG00000073155","1810058I24Rik","ENSMUSG00000073155",2784,0.482758620689655,"RIKEN cDNA 1810058I24 gene [Source:MGI Symbol;Acc:MGI:1914955]","protein_coding","chromosome","67705"
"ENSMUSG00000108207","1810059H22Rik","ENSMUSG00000108207",5024,0.480095541401274,"RIKEN cDNA 1810059H22 gene [Source:MGI Symbol;Acc:MGI:1917070]","lncRNA","chromosome","69820"
"ENSMUSG00000084925","1810062O18Rik","ENSMUSG00000084925",1816,0.513766519823789,"RIKEN cDNA 1810062O18 gene [Source:MGI Symbol;Acc:MGI:1922852]","lncRNA","chromosome","75602"
"ENSMUSG00000117442","1810073O08Rik","ENSMUSG00000117442",1853,0.486778197517539,"RIKEN cDNA 1810073O08 gene [Source:MGI Symbol;Acc:MGI:1919535]","lncRNA","chromosome","72285"
"ENSMUSG00000087165","2010001A14Rik","ENSMUSG00000087165",714,0.557422969187675,"RIKEN cDNA 2010001A14 gene [Source:MGI Symbol;Acc:MGI:1923766]","lncRNA","chromosome","76516"
"ENSMUSG00000044694","2010007H06Rik","ENSMUSG00000044694",4934,0.455411430887718,"RIKEN cDNA 2010007H06 gene [Source:MGI Symbol;Acc:MGI:1917099]","lncRNA","chromosome",NA
"ENSMUSG00000063018","2010204K13Rik","ENSMUSG00000063018",1583,0.457991156032849,"RIKEN cDNA 2010204K13 gene [Source:MGI Symbol;Acc:MGI:1922859]","lncRNA","chromosome","68355"
"ENSMUSG00000026090","2010300C02Rik","ENSMUSG00000026090",5075,0.52256157635468,"RIKEN cDNA 2010300C02 gene [Source:MGI Symbol;Acc:MGI:1919347]","protein_coding","chromosome","72097"
"ENSMUSG00000101268","2010310C07Rik","ENSMUSG00000101268",2398,0.423269391159299,"RIKEN cDNA 2010310C07 gene [Source:MGI Symbol;Acc:MGI:1919381]","lncRNA","chromosome","72131"
"ENSMUSG00000074829","2010315B03Rik","ENSMUSG00000074829",3914,0.400613183444047,"RIKEN cDNA 2010315B03 gene [Source:MGI Symbol;Acc:MGI:1919321]","protein_coding","chromosome","630836"
"ENSMUSG00000100691","2010320M18Rik","ENSMUSG00000100691",1009,0.53221010901883,"RIKEN cDNA 2010320M18 gene [Source:MGI Symbol;Acc:MGI:1919343]","lncRNA","chromosome","72093"
"ENSMUSG00000030587","2200002D01Rik","ENSMUSG00000030587",1564,0.59079283887468,"RIKEN cDNA 2200002D01 gene [Source:MGI Symbol;Acc:MGI:1919525]","protein_coding","chromosome","72275"
"ENSMUSG00000021550","2210016F16Rik","ENSMUSG00000021550",3051,0.4703375942314,"RIKEN cDNA 2210016F16 gene [Source:MGI Symbol;Acc:MGI:1917403]","protein_coding","chromosome","70153"
"ENSMUSG00000029559","2210016L21Rik","ENSMUSG00000029559",3303,0.555252800484408,"RIKEN cDNA 2210016L21 gene [Source:MGI Symbol;Acc:MGI:1919607]","protein_coding","chromosome","72357"
"ENSMUSG00000087380","2210408F21Rik","ENSMUSG00000087380",2406,0.482959268495428,"RIKEN cDNA 2210408F21 gene [Source:MGI Symbol;Acc:MGI:1920902]","lncRNA","chromosome","73652"
"ENSMUSG00000071252","2210408I21Rik","ENSMUSG00000071252",5948,0.407700067249496,"RIKEN cDNA 2210408I21 gene [Source:MGI Symbol;Acc:MGI:1919621]","protein_coding","chromosome","72371"
"ENSMUSG00000032403","2300009A05Rik","ENSMUSG00000032403",2000,0.397,"RIKEN cDNA 2300009A05 gene [Source:MGI Symbol;Acc:MGI:1916728]","protein_coding","chromosome","69478"
"ENSMUSG00000097354","2310001H17Rik","ENSMUSG00000097354",7241,0.43516088937992,"RIKEN cDNA 2310001H17 gene [Source:MGI Symbol;Acc:MGI:1923682]","lncRNA","chromosome","76432"
"ENSMUSG00000098332","2310009A05Rik","ENSMUSG00000098332",2999,0.442480826942314,"RIKEN cDNA 2310009A05 gene [Source:MGI Symbol;Acc:MGI:1913614]","protein_coding","chromosome","66364"
"ENSMUSG00000079283","2310009B15Rik","ENSMUSG00000079283",1750,0.434285714285714,"RIKEN cDNA 2310009B15 gene [Source:MGI Symbol;Acc:MGI:1916799]","protein_coding","chromosome","69549"
"ENSMUSG00000097162","2310010J17Rik","ENSMUSG00000097162",603,0.475953565505804,"RIKEN cDNA 2310010J17 gene [Source:MGI Symbol;Acc:MGI:1925579]","lncRNA","chromosome","78329"
